"metric","deployer_count","total_profit_sol","avg_profit_per_deployer","median_profit_per_deployer","total_tokens_created","total_profitable_tokens","profitable_token_rate"
"PER_DEPLOYER",,51467.75518415948,,,13122,13283,"101.2"
"PER_DEPLOYER",,48531.76580069233,,,29835,23490,"78.7"
"PER_DEPLOYER",,44441.255727682896,,,17380,17516,"100.8"
"PER_DEPLOYER",,44429.471098628,,,26852,18481,"68.8"
"PER_DEPLOYER",,36665.49167236906,,,19759,20620,"104.4"
"PER_DEPLOYER",,34325.456615710966,,,15195,15350,"101.0"
"PER_DEPLOYER",,33517.808755602004,,,8317,8463,"101.8"
"PER_DEPLOYER",,26436.308299082917,,,16344,9864,"60.4"
"PER_DEPLOYER",,22861.000403333943,,,16293,10046,"61.7"
"PER_DEPLOYER",,22328.144779654976,,,4731,4896,"103.5"
"PER_DEPLOYER",,16720.790037264927,,,10298,20068,"194.9"
"PER_DEPLOYER",,16279.201928010014,,,3224,3497,"108.5"
"PER_DEPLOYER",,15278.687726662001,,,252,263,"104.4"
"PER_DEPLOYER",,15212.601769269999,,,382,370,"96.9"
"PER_DEPLOYER",,14319.556484292001,,,4607,4586,"99.5"
"PER_DEPLOYER",,13487.492498270905,,,8485,12909,"152.1"
"PER_DEPLOYER",,12228.928494099977,,,6074,6097,"100.4"
"PER_DEPLOYER",,12221.639076045,,,17259,4381,"25.4"
"PER_DEPLOYER",,12209.175564435005,,,614,600,"97.7"
"PER_DEPLOYER",,12056.852674797,,,382,379,"99.2"
"PER_DEPLOYER",,11407.65495681299,,,4212,4211,"100.0"
"PER_DEPLOYER",,9973.018509602001,,,8783,8999,"102.5"
"PER_DEPLOYER",,9914.796792968,,,2090,1922,"92.0"
"PER_DEPLOYER",,9576.585645709005,,,2855,2832,"99.2"
"PER_DEPLOYER",,9426.666228851984,,,3371,3336,"99.0"
"PER_DEPLOYER",,9420.226217390998,,,2203,2074,"94.1"
"PER_DEPLOYER",,9072.384367476983,,,3189,2976,"93.3"
"PER_DEPLOYER",,9004.830794345991,,,6223,6651,"106.9"
"PER_DEPLOYER",,8929.142680162005,,,1800,1766,"98.1"
"PER_DEPLOYER",,8627.024443214998,,,1557,787,"50.5"
"PER_DEPLOYER",,8604.915992843002,,,3698,1757,"47.5"
"PER_DEPLOYER",,8570.738524649018,,,3119,3207,"102.8"
"PER_DEPLOYER",,8343.099755617002,,,2839,2837,"99.9"
"PER_DEPLOYER",,8240.470555974998,,,144,213,"147.9"
"PER_DEPLOYER",,8147.9979331800005,,,128,129,"100.8"
"PER_DEPLOYER",,7866.492627829,,,3417,3445,"100.8"
"PER_DEPLOYER",,7594.022341048995,,,3573,4274,"119.6"
"PER_DEPLOYER",,7362.584682422996,,,1742,1735,"99.6"
"PER_DEPLOYER",,7330.011366347001,,,1573,1569,"99.7"
"PER_DEPLOYER",,6916.985907201004,,,4213,4267,"101.3"
"PER_DEPLOYER",,6736.853620441003,,,3419,2699,"78.9"
"PER_DEPLOYER",,6734.113244055996,,,1347,1316,"97.7"
"PER_DEPLOYER",,6688.786711294988,,,6041,8204,"135.8"
"PER_DEPLOYER",,6686.790391940001,,,4989,5501,"110.3"
"PER_DEPLOYER",,6359.654130983,,,254,249,"98.0"
"PER_DEPLOYER",,6153.736916588996,,,2816,2833,"100.6"
"PER_DEPLOYER",,6121.193504002001,,,10991,11247,"102.3"
"PER_DEPLOYER",,5918.289862853998,,,2521,2513,"99.7"
"PER_DEPLOYER",,5885.400198540001,,,1809,1722,"95.2"
"PER_DEPLOYER",,5839.762220162004,,,2155,2187,"101.5"
"PER_DEPLOYER",,5818.436051236009,,,4401,4824,"109.6"
"PER_DEPLOYER",,5777.751779566999,,,2650,3193,"120.5"
"PER_DEPLOYER",,5734.566708877002,,,3529,5469,"155.0"
"PER_DEPLOYER",,5730.211404380999,,,4115,4146,"100.8"
"PER_DEPLOYER",,5640.567927049,,,4553,4601,"101.1"
"PER_DEPLOYER",,5611.839363910002,,,7469,1084,"14.5"
"PER_DEPLOYER",,5454.053695709998,,,3193,3095,"96.9"
"PER_DEPLOYER",,5344.832188021,,,462,467,"101.1"
"PER_DEPLOYER",,5205.387584801988,,,2547,2546,"100.0"
"PER_DEPLOYER",,5010.893332717002,,,3899,5790,"148.5"
"PER_DEPLOYER",,4947.4012345539995,,,89,110,"123.6"
"PER_DEPLOYER",,4945.5897098430005,,,2107,2087,"99.1"
"PER_DEPLOYER",,4903.098964497994,,,4616,8335,"180.6"
"PER_DEPLOYER",,4891.725469239999,,,84,78,"92.9"
"PER_DEPLOYER",,4835.4994755650005,,,80,80,"100.0"
"PER_DEPLOYER",,4552.55763913,,,130,116,"89.2"
"PER_DEPLOYER",,4488.007102145,,,2430,2902,"119.4"
"PER_DEPLOYER",,4479.319684229,,,1053,1045,"99.2"
"PER_DEPLOYER",,4409.712867567994,,,4550,5361,"117.8"
"PER_DEPLOYER",,4397.554885176999,,,1707,1759,"103.0"
"PER_DEPLOYER",,4389.191018934005,,,2057,2101,"102.1"
"PER_DEPLOYER",,4381.042601338998,,,1735,1542,"88.9"
"PER_DEPLOYER",,4307.014688382,,,101,100,"99.0"
"PER_DEPLOYER",,4290.646608936,,,64,63,"98.4"
"PER_DEPLOYER",,4278.4999176189995,,,2144,2047,"95.5"
"PER_DEPLOYER",,4232.624817296999,,,106,105,"99.1"
"PER_DEPLOYER",,4185.846243391998,,,2360,2359,"100.0"
"PER_DEPLOYER",,4101.4120582929945,,,1586,1617,"102.0"
"PER_DEPLOYER",,4093.6443185479993,,,67,64,"95.5"
"PER_DEPLOYER",,4024.3207240519987,,,1600,1691,"105.7"
"PER_DEPLOYER",,4000.350628838,,,71,71,"100.0"
"PER_DEPLOYER",,3994.609659574,,,392,242,"61.7"
"PER_DEPLOYER",,3980.6636072579986,,,1017,1001,"98.4"
"PER_DEPLOYER",,3971.6704005790016,,,2396,3575,"149.2"
"PER_DEPLOYER",,3954.993746844997,,,3193,3316,"103.9"
"PER_DEPLOYER",,3914.274198461,,,2341,2332,"99.6"
"PER_DEPLOYER",,3881.8989864669998,,,878,821,"93.5"
"PER_DEPLOYER",,3833.2071176740023,,,9046,1625,"18.0"
"PER_DEPLOYER",,3761.380773396004,,,1419,1390,"98.0"
"PER_DEPLOYER",,3743.5813155139954,,,2369,2464,"104.0"
"PER_DEPLOYER",,3740.023218801999,,,2624,2944,"112.2"
"PER_DEPLOYER",,3725.029428128,,,62,63,"101.6"
"PER_DEPLOYER",,3705.6116845919983,,,1539,1534,"99.7"
"PER_DEPLOYER",,3697.2334041400036,,,1361,1374,"101.0"
"PER_DEPLOYER",,3600.4082835260006,,,4156,1295,"31.2"
"PER_DEPLOYER",,3590.9213076720002,,,2123,2376,"111.9"
"PER_DEPLOYER",,3568.0439560219997,,,2545,2559,"100.6"
"PER_DEPLOYER",,3567.800862639,,,739,251,"34.0"
"PER_DEPLOYER",,3487.2215995149986,,,685,369,"53.9"
"PER_DEPLOYER",,3439.192942926004,,,2081,2117,"101.7"
"PER_DEPLOYER",,3424.6422763,,,57,55,"96.5"
