"creator","tokens_created","avg_seconds_between_launches","min_seconds_between_launches","max_seconds_between_launches","avg_minutes_between_launches","min_minutes_between_launches","max_hours_between_launches","tokens_per_day","days_active","avg_seconds_to_first_sell","min_seconds_to_first_sell","max_seconds_to_first_sell","exact_avg_hours_to_first_sell","exact_min_minutes_to_first_sell","exact_max_hours_to_first_sell","total_profit_sol","profitable_tokens","profit_rate_percent"
"<a href=""https://gmgn.ai/sol/address/MNhBbrscBPmeid54buiqSgyWa4D8PY6uKHoK2wJsTJN"" target=""_blank"">MNhB...sTJN</a>",29835,459.9232754575317,0,233274,7.665387924292195,0,64,"187.9","158.8",80.61193378328464,1,1302499,0.02239220382869018,0,361,48531.766,22292,"74.7"
"<a href=""https://gmgn.ai/sol/address/6d22FozaKK239PoBYVffkYKA1QPQZE8fC7AQkpmHQfjp"" target=""_blank"">6d22...Qfjp</a>",26852,475.5939071170534,0,232900,7.926565118617557,0,64,"181.7","147.8",33.781814794112165,1,370980,0.009383837442808934,0,103,44429.471,18326,"68.2"
"<a href=""https://gmgn.ai/sol/address/36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE"" target=""_blank"">36DW...FQoE</a>",19756,691.5241204758289,0,217984,11.525402007930483,0,60,"125.0","158.1",25.959947272358548,1,63252,0.007211096464544041,0,17,36652.457,19737,"99.9"
"<a href=""https://gmgn.ai/sol/address/83QQFLxcEzuJZaejBnzAiW5tyfyaRHMLZnkhJbRPRWtf"" target=""_blank"">83QQ...RWtf</a>",17380,726.8576442833305,0,230533,12.114294071388843,0,64,"118.9","146.2",91.64755043227666,1,163511,0.025457652897854628,0,45,44441.256,17361,"99.9"
"<a href=""https://gmgn.ai/sol/address/D3sovmjANgA8V27e5rnQft8kV3mocSH8gw9zwth3Ba9g"" target=""_blank"">D3so...Ba9g</a>",17236,461.24751958224545,0,1040101,7.687458659704091,0,288,"187.3","92.0",28.273961475980506,2,119548,0.007853878187772364,0,33,12210.858,3640,"21.1"
"<a href=""https://gmgn.ai/sol/address/5Hyf6srdbrrD1HLjqxcFbXJRFBHgnwoZc7aZRj8vDuk5"" target=""_blank"">5Hyf...Duk5</a>",16344,826.5007036651778,0,1038030,13.775011727752963,0,288,"104.6","156.3",17.4696802646086,1,11697,0.004852688962391278,0,3,26436.308,9781,"59.8"
"<a href=""https://gmgn.ai/sol/address/C88rn1cz1PcRJFh44TuynaWbnRis4xuBRi65sD1Nwxog"" target=""_blank"">C88r...wxog</a>",16275,802.9832862234239,0,160616,13.383054770390398,0,44,"107.6","151.2",20.799950817656462,1,10050,0.005777764116015684,0,2,22851.867,9758,"60.0"
"<a href=""https://gmgn.ai/sol/address/B8xTCohpTmuR57pJ8ucKPZfBjdw3Lfkvii4deXRRrL4H"" target=""_blank"">B8xT...rL4H</a>",15195,764.5634460971436,0,411754,12.742724101619059,0,114,"113.0","134.5",1229.0520951302378,1,1369320,0.3414033597583994,0,380,34325.457,14934,"98.3"
"<a href=""https://gmgn.ai/sol/address/9ZCrb9iKawp1e5Gw3r2BpHpCZQbHFg6DLguzQ5SkP2Eg"" target=""_blank"">9ZCr...P2Eg</a>",13122,286.15425653532503,0,63348,4.769237608922084,0,17,"301.6","43.5",102.2607756958902,1,213362,0.02840577102663617,0,59,51467.755,12968,"98.8"
"<a href=""https://gmgn.ai/sol/address/Dq3fi8ZmBhkrwHFBChLk2pqV8iAGW9uuJP7coshGzqT6"" target=""_blank"">Dq3f...zqT6</a>",10991,1411.7154686078252,30,870858,23.528591143463753,0,241,"61.2","179.6",51.80829769811664,3,42787,0.0143911938050324,0,11,6121.194,10991,"100.0"
"<a href=""https://gmgn.ai/sol/address/C4udGwTg6oqcrr8SmSLmkcXDbaFEcopsiaT21KUE4psU"" target=""_blank"">C4ud...4psU</a>",10241,762.740625,28,250253,12.71234375,0,69,"113.3","90.4",20.66904296875,3,3033,0.005741400824652777,0,0,16618.909,10240,"100.0"
"<a href=""https://gmgn.ai/sol/address/B9Zbs2W9VK22AHnCWiK4PqBueDFzN17RNAFu5uFozLMJ"" target=""_blank"">B9Zb...zLMJ</a>",9740,1347.023513707773,0,44158,22.45039189512955,0,12,"64.2","151.8",79.23084886128365,1,41017,0.022008569128134346,0,11,421.768,223,"2.3"
"<a href=""https://gmgn.ai/sol/address/4RePs4EchMosyRENfkUFwZcjgMsdTt9SzYMZomtvRQEi"" target=""_blank"">4ReP...RQEi</a>",9510,244.1107371963403,0,259465,4.068512286605672,0,72,"353.5","26.9",245.19392154800715,4,949020,0.06810942265222421,0,263,50.453,10,"0.1"
"<a href=""https://gmgn.ai/sol/address/Bx7SLBFceTJLrqcBFisb5NmmFCFtXQSm4o1oYpCHuhB9"" target=""_blank"">Bx7S...uhB9</a>",9042,827.7343214246212,0,721923,13.795572023743686,0,200,"104.4","86.6",227.34639480578653,1,377381,0.0631517763349407,0,104,3832.962,1596,"17.7"
"<a href=""https://gmgn.ai/sol/address/GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b"" target=""_blank"">GZVS...LM9b</a>",8777,1070.6672743846855,10,1419230,17.844454573078092,0,394,"80.7","108.8",9.18099908759124,1,3179,0.0025502775243309004,0,0,9965.371,8766,"99.9"
