"creator_address","tokens_created","total_profit_sol","profitable_tokens","profit_rate_percent","days_active","tokens_per_day"
"9ZCrb9iKawp1e5Gw3r2BpHpCZQbHFg6DLguzQ5SkP2Eg",13122,50693.17708560186,12968,"98.8",43,305
"MNhBbrscBPmeid54buiqSgyWa4D8PY6uKHoK2wJsTJN",29835,47078.4481542907,22292,"74.7",158,188
"6d22FozaKK239PoBYVffkYKA1QPQZE8fC7AQkpmHQfjp",26852,44272.21685690609,18326,"68.2",147,182
"83QQFLxcEzuJZaejBnzAiW5tyfyaRHMLZnkhJbRPRWtf",17380,44226.523933735836,17361,"99.9",146,119
"36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE",19825,35989.494915396164,19806,"99.9",160,123
"B8xTCohpTmuR57pJ8ucKPZfBjdw3Lfkvii4deXRRrL4H",15195,33956.0766901867,14934,"98.3",134,113
"BfAgS1vsK2Wja56zxcBrMMdn6sFgTnMmZu3wi4XwiAt3",8317,32970.40229896026,8205,"98.7",39,213
"5Hyf6srdbrrD1HLjqxcFbXJRFBHgnwoZc7aZRj8vDuk5",16516,26272.816931574656,9788,"59.3",158,104
"C88rn1cz1PcRJFh44TuynaWbnRis4xuBRi65sD1Nwxog",16375,22567.73622578875,9789,"59.8",152,107
"GNzV2sx87Ua3Pkb2s6hM13CBbHfrgsSHYiB6s8TKBdg8",4807,22423.62733415838,4692,"97.6",51,94
"Cbn2mBJZzTJ28Hw5VcVYwwbuDnXVobbaU8oKUXM3mZB2",3243,15326.56594013326,3077,"94.9",35,92
"BWb2w2Kr3XBRWTsa85SkrCBNYBY81YUEiqgDvs1PQNTB",252,15233.534538204005,243,"96.4",44,5
"EY72TERxKdo4YxRSYCSZHXS9nPR2A7edirEoLSPKvazC",382,15211.47222016602,369,"96.6",44,8
"Czw16TyoyxktCSsS1BNXmUdjXTvsWxX6VPqrKUMwS6To",4634,14376.551522960825,4606,"99.4",155,29
"FZt2R8haxvyTTmdbJyQvB2sq2aAe92XQW8zksC7vGtr7",8913,12231.525147974293,8913,"100.0",46,193
"BZ3jvZP7jcdASPK5EgcKaYen3Y1Y6kwwBDNv9mKGP5oi",620,12223.19023472799,595,"96.0",88,7
"2RRAxkqQJnPKJ62V7qTj7pNU2TsmuKFv5MYgRPNz4hHv",382,12056.852674796997,379,"99.2",34,11
"7R3KWHxzCf1eevnqHh4YymyTf4WsVJRwVHjrTGiV5zq1",5941,12007.104633285733,5927,"99.8",179,33
"D3sovmjANgA8V27e5rnQft8kV3mocSH8gw9zwth3Ba9g",17750,11184.63935040101,3754,"21.1",93,190
"DBsttoy6Eunu4KMyxZMReRgMar6URXWmiYjr5XgML4Qf",4090,11163.827376346773,4087,"99.9",24,170
"GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b",9248,10394.549023623034,9236,"99.9",110,84
"3eosqvAzuAX5PDMDcLbgoaJdw45Gr3niL1GZsjE66sJY",2090,9905.03967612403,1921,"91.9",18,116
"C4udGwTg6oqcrr8SmSLmkcXDbaFEcopsiaT21KUE4psU",10893,9843.855215417097,10892,"100.0",92,118
"ARuJrNERmFxdNLU9BLeWLEKWJweUMdcF7bJJdGfGsY47",2203,9370.820952010099,2050,"93.1",45,48
"EKd7ZAUxmbKnTmQxUaX7yVYHUKUYieAvoE5ix79ycxoM",2780,9358.765752945032,2757,"99.2",51,54
"24J2G1aRSRLGrDcGcTq7b5wNxVpkKaJ9AjGnX6yjdTCY",3336,9326.764103782198,3275,"98.2",104,32
"4Kr8wN4b5VV3p9B9oxdE737oqm2d5pPm7JtLsDpdNKNz",3189,8917.207507402989,2865,"89.8",55,57
"CvUx1XqJp4mVRQZjzXN2RJxqnsV77CfTKZVHdy4VCkHK",1800,8864.145457331055,1748,"97.1",5,360
"2wuPP8Kcvaa7sjhp5eDgJiE72opFEnWFqkiAJ2DjBemS",1557,8627.024443215005,787,"50.5",46,33
"7m6zpeapVnx52JLqrcEsp56XXN6skUeWMZDUFzDjE2yC",3698,8593.479946287995,1754,"47.4",19,194
"DR7ghPiRVBJ3YeP3FUJRuSa4XaWq4Pkw8ZM4JYs1PyJ9",6480,8527.930151705836,5512,"85.1",93,69
"8JBqFdE18SF1iayZPHX5mL7cZuhZqFNx3XWeU2Peiz6f",2843,8325.918214376925,2841,"99.9",178,15
"BtDaZUqHr2mKH5EYQCztuerHBuBEfQNYdquTDtEZp2Ym",3082,8318.321948033014,2901,"94.1",179,17
"FqawSiDUDXKUmxfS5FV39LxrtvZcNpyrPbRVUFbcQnxr",128,8146.708677942001,124,"96.9",49,2
"J7CpGz89zizVRHWJUwxT5HM1NduWwnjHkXGDurvuSMWC",144,8092.266583817001,141,"97.9",63,2
"BfKHhnkVSzPCdY8fyW4RayqDr7FZXRVLRUHtr3kvAhe1",3502,8036.182070004937,3500,"99.9",68,51
"FjeaKDFAgexEPZbAFHwE4cL1MFvn1o6EL1qehcmVStCX",4500,7316.27805431409,4479,"99.5",79,56
"BAxS7NBi9S8tN95Y9bdDaEvDfnori7jahPQF4pJ5p35G",1573,7271.238756587027,1537,"97.7",2,786
"CZyc4yp6uiEFz5TXqeuGSzF26oBFnrJNyYpjSEah4j5D",1742,7257.992611108024,1697,"97.4",6,290
"3mqbxgQ8UEwNixoGJhuyB5KDwkgN2K5jTbSpccR7bxAp",3654,6935.116388908965,3593,"98.3",173,21
"EBbQ8XAa5MztUx1zbKhaNKKwcvNGxovdF7rG6iHZ2aun",3561,6733.71748480296,2691,"75.6",132,26
"HASAiE4ZPHbN6KgkRbZ3ZQDb2wMS5ximtdC2ZPZHG1ze",1347,6729.015726247052,1313,"97.5",5,269
